Department_Code,Course_Number,Course_Name,Course_Description,Course_Credits,Course_Prerequisits
ANTH,2332,Peoples and Cultures of Africa,Addresses a range of African cultures| and reviews their diversity and complexity. Traditional Africa culture still continues| and knowledge of this heritage is vital to understand contemporary change and recent events.,0.5,none
ANTH,2515,Key Concepts in Ethnology,Cultural Anthropology has contributed many of the key concepts and analytic methods that provide insights into the human condition. Understanding these concepts enables students to better understand the past| present| and future condition of humankind.,0.5,Anthropology 1034 or permission of the instructor
ANTH,2517,Introducing Ethnography,Students are introduced to how anthropological fieldwork is conducted and will gain practical experience through class assignments. After being introduced to the ethical requirements of doing research with human subjects| students will learn through lectures and practice how to collect| code| analyze and present research data. The varied methods integral to ethnology and ethnography will be mastered through practical assignments. These skills will be applicable to other anthropology classes| including the honours thesis.,0.5,A half-course in Anthropology or permission of the instructor
ANTH,2811,Special Topic I,A half course on a selected topic in anthropology.,0.5,Permission of the instructor
ANTH,2813,Special Topic II,A half course on a selected topic in anthropology.,0.5,Permission of the instructor
ANTH,3010,Geoarchaeology,An introduction to geoarchaeology as a contextual framework for human paleoecology. Major topics include description and interpretation of sediments in which archaeological remains are found| consideration of the natural processes that create the archaeological record| and reconstruction of landscapes on which ancient people lived. Also addressed are: climate change| and the effects of these changes on biota; dating methods in archaeology; and geological sourcing techniques.,0.5,Anthropology 2137 or permission of the instructor
ANTH,3118,Scientific Applications in Archaeology,The detailed study of archaeological sites and materials with an emphasis on methods for understanding human relationships with the environment. Specific topics include the analysis of site sediments| remote sensing| archaeological reconnaissance| and map production and interpretation.,0.5,Anthropology 2137 or permission of the instructor
ANTH,3133,Environmental Archaeology,A hands-on introduction to the analysis of animal and plant remains in archaeological and paleoecological settings.,0.5,Two FCEs in Anthropology at the second year level or permission of the instructor
ANTH,3134,Archaeological Reconnaissance,A practical introduction to archaeological surveying and other field reconnaissance techniques| such as mapping| gps| shovel testing methods| field data recording and photography.,0.5,Two FCEs in Anthropology at the second year level or permission of the instructor
ANTH,3136,Forensic Anthropology,This course examines the role of biological anthropology within the forensic sciences. It uses a case study approach to illustrate the procedures and responsibilities of bioanthropologists in the legal setting. Topics include the recovery of evidence from the crime scene| methods of skeletal and biochemical analysis (including DNA)| and the role of the scientific expert in court.,0.5,none
ANTH,3138,Introduction to DNA Molecular Methods,An introduction to methods used in molecular biology| biochemistry and molecular anthropology with emphasis on the techniques and their application. The laboratory component covers the analysis of nucleic acids particularly DNA| and includes basic techniques such as gel electrophoresis| DNA extraction| and the polymerase chain reaction. Methods of DNA data analysis and interpretation are also introduced| including forensic science| molecular anthropology| molecular biology and molecular archaeology.,0.5,"Two of: Anthropology 2110, Biology 2171, Biology 2230, Biology 2910, Chemistry 1210; or permission of the instructor"
ANTH,3139,Molecular Anthropology,An advanced study in Molecular Anthropology and Human Population Biology that addresses methods applied to the molecular study of humans and human evolution| human diversity| population movements and forensic identification. Also covers molecular taphonomy and biomolecules in the field of Molecular Anthropology.,0.5,Anthropology 3138 or permission of the instructor
ANTH,3231,Historic Archaeology,A study of archaeological methods as they are applied to societies with a written historic tradition. The discussion focuses on the archaeology of the fur trade in Canada and the northern U.S.A. It considers the theoretical and methodological development of the discipline| and introduces methods of identifying technologies reflecting innovations over the last 500 years.,0.5,Anthropology 2137 or permission of the instructor
ANTH,3232,Archaeology of Europe,Topics and research problems in European archaeology| from the first Europeans to the formation of states and empires. Topics may include the life-ways of Neanderthals and other early hunter-gatherers| Ice Age art| the origins and spread of farming| early metallurgy| the development of inequality| and the interactions between “civilized” and “barbarian” societies.,0.5,"Anthropology 1032 or 2151, or permission of the instructor and Chair of the Department"
ANTH,3235,Ceramic Analysis,The analysis of ceramics| combining archaeology and ethnology. From prehistory to the present| people have used clay to form pottery and other objects. How can ceramic evidence permit inferences about societies past and present?  Topics include the chemistry and mineralogy of clays; physical properties of ceramics; techniques of pottery production; organization of ceramic data; analysis of pottery style| form and function; instrumental analysis; and frameworks for interpreting the societies| politics| and economies of pottery makers and users. Perspectives from archaeology and ethnology are joined with the development of hands-on laboratory skill including drawing pottery| analyzing fabric| working with a ceramics database| and creating typologies.,0.5,none
ANTH,3238,History of Ethnology,A review of the historical development of cultural anthropology| the study of contemporary cultures| and those of the recent past. The course content focuses on the contributions that have been made to the discipline by eminent scholars such as Franz Boas| Bronislaw Malinowski| Edward Evans-Pritchard| Margaret Mead| Alfred Kroeber| and Claude Levi-Strauss.,0.5,Anthropology 1034 or permission of the instructor
ANTH,3312,Medical Anthropology I,The course critically discusses the influence of culture on western medicine in a historical perspective. In order to offer a point of contrast| a variety of indigenous (Chinese| Ayurveda| and Shamanism) and alternative healing methods (Rolfing| Acupuncture| Reiki| and Therapeutic Touch) are reviewed.,0.5,Anthropology 2515 and 2517 or permission of the instructor
ANTH,3315,Archaeology of the Boreal Forest,A review of the archaeological study of pre-contact Aboriginal cultures of the Canadian boreal forest. Of special interest are the socio-economic adaptations of hunters and gatherers to the ecology of the northern forests. While northern Ontario is of central concern| other archaeological cultures throughout the Canadian subarctic are considered.,0.5,Anthropology 2173 or permission of the instructor
ANTH,3317,Medical Anthropology II,This course is based on an ecological perspective which views a community's health as a reflection of the nature of its adaptation to its environment. Factors such as religious beliefs| subsistence patterns| diet| stress| and modernization all are considered when discussing the overall health of groups of peoples. Examples are drawn from all parts of the world.,0.5,Anthropology 3312 or permission of the instructor
ANTH,3455,Stable Isotopes in Bioanthropology,Introduction to the bioanthropological application of stable isotopes and other biochemical| geochemical and ecological techniques. Various stable isotopes (including C| N| O| S| H| Sr) can be used in the assessment of paleo-diet| life history and migratory patterns| to infer paleo-ecological contexts| and also in forensic applications.,0.5,Anthropology 2110 and 2112 or permission of the instructor
ANTH,3534,Visual Anthropology,Today people frequently use film and video to represent their culture| providing people around the globe with intimate portraits of themselves. The course content explores the insights that filmmakers and videographers have provided through their works into the nuances of their cultures.,0.5,Anthropology 1034 or permission of the instructor
ANTH,3550,Traditional Aboriginal Cultures in Canada,Students will learn about the ethnographic features of the Aboriginal peoples of Canada before sustained contact with Europeans| including the manner ,0.5,Anthropology 1034 or permission of the instructor
ANTH,3551,Treaty and Aboriginal Rights in Canada,Students will learn about the cultural aspects of selected conflicts between the Aboriginal peoples of Canada and the federal and provincial governments over treaty and aboriginal rights| including the roles these rights play in maintaining the integrity of the cultures of the Aboriginal peoples of Canada| and the ways in which other-than-Aboriginal Canadians see these rights.,0.5,Anthropology 1034 or permission of the instructor
ANTH,3671,Geography of the Arctic Region,See Department of Geography and the Environment| Geography Courses| Geography 3671| for full course description.,0.5,Geography 3671/Northern Studies 3671
ANTH,3711,Kinship and Marriage,This course focuses on understanding social organization based on kinship and marriage. This includes descent and residence rules| forms of marriage| preferred marriage partners| marriage alliances and different kinship systems. Students will learn to interview informants| draw kinship diagrams| and analyze different kinship systems. Various theoretical approaches will be critically examined.,0.5,Anthropology 2515 and 2517 or permission of the instructor
ANTH,3715,Plagues and Peoples,An examination of selected historic| recent and emerging infectious disease epidemics within an evolutionary| ecological and epidemiological context| and considers the complex biological| social and economic repercussions for human populations.,0.5,One full course equivalent in Anthropology or permission of the instructor
ANTH,3716,Arctic Cultures,An exploration of the circumpolar Arctic with its unique regional environment and biological variability through time and across space. This frames a review of human cultural adaptations| population migrations| and historic and contemporary circumstances of Arctic peoples in Northern North America and Eurasia.,0.5,One full course in Anthropology or permission of the instructor
ANTH,3717,Exploring Cultural Diversity,In an increasingly interconnected world| all societies confront the challenge of interacting with cultures that espouse different values| perspectives and world views. Students will examine the customs and traditions of diverse cultures to explore how customs function within the context of the host society.,0.5,Anthropology 1034 or permission of the instructor
ANTH,3718,Anthropology of Magic and Religion,Students will explore the ways in which people around the world employ magic and religion to interact with the supernatural world| from their magical and religious rituals to roles that magic and religion play in cultural life.,0.5,Anthropology 1034 or permission of the instructor
ANTH,3719,Anthropology of Violence and War,Conflict exists everywhere| even in the smallest societies. In some cases| violence and war are the result. This course combines rich empirical descriptions of violence and war with a comprehensive theoretical discussion of the foundation of these extreme forms of behaviour.,0.5,Anthropology 1034 or permission of the instructor
ANTH,3733,Social Organization,This course discusses political organization in cross-cultural perspective and critically questions the necessity for political leaders and assumptions regarding the superiority of modern democracy. Ethnographic examples are reviewed| including egalitarian societies| people without formal governments| and more stratified societies with age set organizations| chiefdoms| states and caste systems.,0.5,Anthropology 2515 and 2517 or permission of the instructor
ANTH,3739,Anthropology of Art,Cross-cultural and diachronic consideration of art and art-making in human societies.  The arts of hunter-gatherers| simple farmers| and complex societies – today and in the past – are examined in comparative perspective.  The ethnography and archaeology of visual arts| music| dance| and body art are brought to bear on the question: is art a human universal?,0.5,"Anthropology 1032 and 1034, or permission of the instructor and Chair of the Department"
ANTH,3801,Archaeological Field School,Training in archaeological field methods through participation in an excavation project. Students will gain practical experience in archaeological reconnaissance and standard excavation methods| site mapping| field data recording| artifact identification| and data analysis. This intensive field course occurs over 6 weeks in the spring or summer term.,1,One FCE in Anthropology or permission of the instructor
ANTH,3811,Special Topic I,A half course on a selected topic in anthropology.,0.5,Permission of the Chair of the Department
ANTH,3813,Special Topic II,A half course on a selected topic in anthropology.,0.5,Permission of the Chair of the Department
ANTH,3815,Special Topic I with Laboratory,A half course on a selected topic in archaeology or biological anthropology.,0.5,Permission of the Chair of the Department
ANTH,3817,Special Topic II with Laboratory,A half course on a selected topic in archaeology or biological anthropology.,0.5,Permission of the Chair of the Department
ANTH,4010,Archaeology Capstone Seminar,A curiosity-driven seminar exploring recent methodological and theoretical issues in archaeology.,0.5,One FCE in Anthropology at the third year level or permission of the instructor
ANTH,4111,Ecological and Environmental Anthropology,This course explores theoretical issues relating to the integration of human beings into complex ecosystems. These human/environment relationships are reviewed in terms of the development of theoretical models from the mid 18th century up to the late 20th century.,0.5,One FCE in Anthropology at the third year level or permission of the instructor
ANTH,4114,Human Impacts on the Environment,It has become increasingly apparent that human society is capable of profoundly altering natural ecosystems. Although the scale of human impact on the environment has increased over the last 100 years| the present condition of the earth's ecosystems is the result of a long history of human-environmental interactions. Archaeology and other historical sciences play a central role in understanding the long-term effects of our species on the earth. The course provides an opportunity to explore this topic through a discussion of the recent literature.,0.5,Anthropology 2137 or permission of the instructor. Anthropology 3010 is recommended.
ANTH,4219,Human Skeletal and Dental Biology,A comprehensive study of human osteology and dental anatomy.  The lab focuses on both normal and variational anatomy.,0.5,"Anthropology 2110, and either Anthropology 3136 or 3150, or permission of the instructor"
ANTH,4417,DNA in Forensic Science,An examination of the role of DNA analysis in the court systems of Canada and the United States. An overview of the recent history of DNA analysis and its role as evidence| and of the debate challenging the credibility of DNA evidence. The scientific basis of DNA analysis (both nuclear and mitochondrial)| including variant techniques such as DNA fingerprinting and restriction fragment length polymorphisms (RFLP's) are explained. The continuity of evidence from crime scene to court room| as well as statistical methods| are covered in detail.,0.5,"One full course equivalent in Anthropology and one full course equivalent in Biology, or permission of the instructor"
ANTH,4419,Ancient DNA,An advanced study of ancient and degraded DNA. The course content covers the history of the field| including a history of methodological development. The course also covers critical aspects in the field of ancient DNA such as DNA damage and problems associated with its study| including authentication and verification of ancient and degraded DNA results| followed by literature and case studies pivotal to the field and its development.,0.5,"One full course equivalent in Anthropology and one full course equivalent in Biology, or permission of the instructor"
ANTH,4429,Ancient DNA Internship,An intensive three week laboratory-based DNA course designed to teach students the fundamentals of DNA extraction| amplification (using PCR)| sequencing and interpretation. Training in the latest DNA technologies| including the ABI 310 and 3100 automated sequencers. The course is team-taught and lectures on aDNA are interspersed with laboratory work to provide a theoretical component to the program.,1,A limited enrolment course.  Additional laboratory fees are associated with this course.
ANTH,4430,Molecular Paleopathology,An advanced course in the genetic identification of disease in the past. The course covers the methods and techniques employed in the identification of disease| including parasitic| bacterial| viral and hereditary diseases. Case studies will be presented to demonstrate the methods and techniques and their application to archaeology| and evolutionary and medical biology.,0.5,Anthropology 3138/Biology 3138 or permission of the instructor
ANTH,4450,Forensic and Archaeological Microscopy,Microscopic| chemical and biochemical techniques for the characterization of different types of organic trace materials and residues. Interpretation of the forensic and archaeological trace evidence| including fibres| hair| blood residues or stains| plant residues| plant microfossils| pollen and biological debris. A laboratory component is included for the hands on analysis of archaeological and forensic material.,0.5,none
ANTH,4501,Advanced Cultural Anthropology,This course is intended for the student majoring in Anthropology at the honours level. The course will deal with selected topics in socio-cultural| medical| or applied anthropology at an advanced level.,1,Permission of the Chair of the Department
ANTH,4503,Advanced Archaeology,This course is intended for the student majoring in Anthropology at the honours level. The course will deal with selected topics in archaeology at an advanced level.,1,Permission of the Chair of the Department
ANTH,4505,Advanced Biological Anthropology,This course is intended for the student majoring in Anthropology at the honours level. The course will deal with selected topics in biological or biomedical anthropology at an advanced level.,1,Permission of the Chair of the Department
ANTH,4517,"Society, Culture and Nature",See Department of Sociology| Sociology Courses| Sociology 4517| for full course description.,0.5,Sociology 4517/Environmental Studies 4517
ANTH,4737,Material Culture,Examination of the built worlds that enable and constrain human cultural and social life.  From everyday objects like cups| houses| and clothes to extraordinary works such as feasts| aqueducts| and skyscrapers| material worlds have framed our lives in culturally constituted ways. Different cultural configurations of materiality and their relation to human social action are considered.,0.5,"Anthropology 1032 and 1034, or permission of the instructor and Chair of the Department"
ANTH,4811,Special Topic I,A half-course on a selected topic in anthropology.,0.5,Permission of the Chair of the Department
ANTH,4813,Special Topic II,A half-course on a selected topic in anthropology.,0.5,Permission of the Chair of the Department
ANTH,4901,Honours Thesis,Recommended for students considering graduate work in sociocultural anthropology| biological anthropology or archaeology. See Notes under HBA and HBSc programs for preparatory work to be done by the end of third year. The thesis may be on any topic approved by the student's advisor and may entail field and/or laboratory work| as well as library research.,1,Permission of the Chair of the Department and a minimum B (70%) overall average in third year level Anthropology courses
APBI,3135,Molecular Genetics,Isolation and indentification of genes| analysis of gene structure| gene expression and its regulation| with emphasis on molecular genetics of prokaryotic microorganisms and their viruses. Major topics covered include: mutagenesis| conjugation| recombination| gene regulation| plasmids| transposons| bacteriophage and genomics.,0.5,"Biology 2910 or Biology 3352/Chemistry 3251, Biology 2171, 2230, and 2711; or permission of the instructor"
APBI,4650,Issues in Biotechnology,See Department of Biology| Biology Courses| Biology 4650| for full course description.,0.5,Biology 4650
APBI,4710,Advanced Research Methodology,See Department of Chemistry| Chemistry Courses| Chemistry 4710| for full course description.,0.5,Chemistry 4710
APBI,4811,Tutorial or Research Project I,Under the supervision of participating Applied Bio-Molecular Science faculty members| students complete a research project culminating in a report or poster presentation.,0.5,Yes
APBI,4813,Tutorial or Research Project II,Under the supervision of participating Applied Bio-Molecular Science faculty members| students complete a research project culminating in a report or poster presentation.,0.5,Yes
BIOI,3711,Bioinformatics,Developing practical bioinformatics skills. Some of the topics covered are: introduction to Linux; web databases and resources; overview and use of public and commercial software packages for sequence and structure analysis; examples of applications of everyday bioinformatics.,0.5,Chemistry 3251/Biology 3252
BIOI,4111,Research Seminars,Course content is variable but closely related to the research project undertaken in Bioinformatics 4901. Students are required to present their research to the Department on a regular basis and to attend all seminars sponsored by the Department.,0.5,Bioinformatics 4901
BIOI,4191,Special Topics in Biological Chemistry,See Department of Chemistry| Chemistry Courses| Chemistry 4191| for full course description.,0.5,Chemistry 4191
BIOI,4501,Senior Project,Under the supervision of participating Bioinformatics Science faculty members| students complete a research project culminating in a report.,1,"Type C: Engineering, Mathematical and Natural Sciences"
BIOI,4901,Honours Thesis,A research project and the accompanying written thesis concerning the research investigation which has been undertaken will be submitted to the Department.,1,Bioinformatics 4111
BIOL,1110,Animal Biology,An introduction to the study of the structure| function and organization of animal life. Discussion of the evolution and classification of major invertebrate and vertebrate animal phyla| animal body plans and reproductive strategies.,0.5,none
BIOL,1130,Plant Biology,An introduction to plant diversity stressing the evolution of plants. Comparative morphology of vegetative and reproductive structures will be emphasized. Topics will also include functional anatomy| photosynthesis and respiration.,0.5,none
BIOL,2011,Human Musculoskeletal Anatomy,Anatomical systems/topics covered are the integumentary| muscular| and skeletal systems as well as arthrology. Laboratory work includes the study of the cat as a representative animal.,0.5,none
BIOL,2012,Human Internal Anatomy,Anatomical systems covered are nervous| cardiovascular| respiratory| digestive| reproductive| urinary and endocrine. Laboratory work includes the study of the cat as a representative animal.,0.5,none
BIOL,2030,Introductory Human Physiology,The fundamental principles of organ system physiology with special emphasis on mammals. Cell structure and transport| neural signaling and the central nervous system| muscle| circulation| gas exchange and osmoregulation. The practical application and relevance of certain physiological concepts is enhanced through clinical examples.,0.5,none
BIOL,2035,Human Physiology Survey,A didactic overview of select human physiological systems without laboratory exercises and is suitable for students who seek a limited introduction to this topic. Not recommended for students in Biology or Natural Science programs.,0.5,none
BIOL,2050,Tree Development and Function,A basic review of tree anatomy| morphology and physiology covering the following topics: shoot and root development and their internal controls| formation and function of xylem and phloem| translocation| water relations| correlations and control of tree form| assimilation| nutrition| sexual and asexual reproduction.,0.5,none
BIOL,2051,Flowering Plant Taxonomy,See Faculty of Natural Resources Management| Natural Resources Management Courses| Natural Resources Management 2050| for full course description.,0.5,Natural Resources Management 2050
BIOL,2070,Human Structure,Human anatomy of selected organs/systems| with emphasis on the integumentary| skeletal| muscular| nervous| circulatory| respiratory| digestive| urinary| and reproductive systems.,0.5,none
BIOL,2110,Forest Soils and Water I,See Faculty of Natural Resources Management| Natural Resources Management Courses| Natural Resources Management 2110| for full course description.,0.5,Natural Resources Management 2110
BIOL,2131,Regional Flowering Plants,A course on the identification of common native and introduced flowering plants of the Lakehead area. Special attention will be given to the local forest flora. Field trips will be arranged. Students will also be expected to make a plant collection.,0.5,none
BIOL,2171,Genetics,An introduction to the principles of inheritance| modern gene concepts and basic population genetics is presented in a lecture and problem-solving format.,0.5,none
BIOL,2210,Introductory Ecology,Interrelationships of plants and animals with the environment. The distribution and dynamics of plant and animal communities. Aspects of applied ecology and conservation.,0.5,Environmental Studies 2210
BIOL,2230,Cell Biology,Methodology used in studying cell structure and composition will be outlined and the following metabolic processes will be discussed in relation to their subcellular localization: energy conversion| DNA replication and gene expression| membrane function| polysaccharide synthesis| hydrolytic reactions.,0.5,none
BIOL,2711,Biology of Microorganisms,An introduction to microbial cell biology| genetics and interactions between microorganisms and humans. Laboratory work includes basic microbiological techniques and identification of microorganisms.,0.5,none
BIOL,2713,Introduction to Microbiology,An introduction to microbial cell biology| host response to pathogens and public health aspects of microbiology.,0.5,none
BIOL,2910,Laboratory Biology,Introduction to basic laboratory techniques: pipetting| preparation of media| aseptic technique| cell disruption| protein purification and analysis| electrophoresis| chromatography. Development of skills in such areas as: laboratory note-keeping| reporting| graphical presentation of data| information searching.,0.5,none
BIOL,3010,Physiology of Exercise I,See School of Kinesiology| Kinesiology Courses| Kinesiology 3010|  for full course description.,0.5,Kinesiology 3010
BIOL,3011,Physiology of Exercise II,See School of Kinesiology| Kinesiology Courses| Kinesiology 3011| for full course description.,0.5,Kinesiology 3011
BIOL,3114,Plant Ecology,Theories| concepts and methods in the study of plant ecology are discussed with special reference to the concept of community| ecosystem| succession and species' vital attributes. Technical writing based on field studies| hands-on labs| ecological data analysis and interpretation are required components of the course including a seminar presentation on a contemporary topic in plant ecology.,0.5,none
BIOL,3135,Molecular Genetics,See Interdisciplinary Programs in Applied Bio-Molecular Science| Applied Bio-Molecular Science Courses| Applied Bio-Molecular Science 3135| for full course description.,0.5,Applied Bio-Molecular Science 3135
BIOL,3138,Introduction to DNA Molecular Methods,See Department of Anthropology| Anthropology Courses| Anthropology 3138| for full course description.,0.5,Anthropology 3138
BIOL,3139,Molecular Anthropology,See Department of Anthropology| Anthropology Courses| Anthropology 3139| for full course description.,0.5,Anthropology 3139
BIOL,3151,Biogeography,A study of the distribution and dispersal of organisms. An examination of how biotic and abiotic factors interact and species distributions respond to dynamic environmental processes such as climate and glaciation. Topics covered include: history of biogeography| distribution of species| communities| and biomes; speciation and extinction| endemism| dispersal| history of lineages and biotas| patterns of continental and oceanic diversity| island biogeography| and human impacts on species distribution.,0.5,none
BIOL,3212,Invertebrate Zoology,An introductory course dealing with the major phyla of invertebrate animals with emphasis on form and function.,0.5,none
BIOL,3213,Forest Pathology,See Faculty of Natural Resources Management| Natural Resources Management Courses| Natural Resources Management 3213| for full course description.,0.5,Natural Resources Management 3213
BIOL,3214,Human Histology,A study of the structure and function of human tissues. Emphasis during laboratory sessions will be placed on recognition of human cells| tissues and organs.,0.5,none
BIOL,3217,Forest Entomology,See Faculty of Natural Resources Management| Natural Resources Management Courses| Natural Resources Management 3217| for full course description.,0.5,Natural Resources Management 3217
BIOL,3219,The Evolution of Vertebrates,Survey of vertebrate animals with an evolutionary and paleontological perspective on their adaptive features. Laboratory sessions examine morphological| anatomical| and behavioural characteristics| with special reference to comparative locomotory| feeding| and reproductive strategies.,0.5,Biology 1110 or permission of the instructor
BIOL,3250,Animal Physiology: Animal Communication and Control Systems,A comparative examination of organismal communication systems emphasizing integrated endocrine| and neural mechanisms. Laboratory exercises involve practical experience in the use of in vivo and in vitro techniques in endocrine and neurophysiological investigations.,0.5,none
BIOL,3251,Animal Physiology: Organ System Operation and Regulation,A comparative study of animal organ system physiology. Areas to be discussed include the structure| operation and regulation of muscle| cardiovascular systems| osmotic and ionic regulation| respiratory- and gastrointestinal systems.,0.5,Biology 3250 or permission of the instructor
BIOL,3252,Biochemistry I,See Department of Chemistry| Chemistry Courses| Chemistry 3251| for full course description.,0.5,Chemistry 3251
BIOL,3253,Animal Physiology: Intracellular Communication and Coordination,An examination of integrated intracellular communication mechanisms which enable extracellular messengers| including hormones| neurotransmitters and drugs| to exert their effects. Areas to be discussed include primary messenger receptors| intracellular signaling mechanism| and cellular adaptation to messenger stimuli.,0.5,none
BIOL,3272,Biochemistry II,See Department of Chemistry| Chemistry Courses| Chemistry 3271| for full course description.,0.5,Chemistry 3271
BIOL,3313,Ecological Structure in Northern Environments,The application of ecological and evolutionary concepts to understand and conserve ecological structure of northern ecosystems.,0.5,Northern Studies 3313/Environmental Studies 3313
BIOL,3330,Molecular Biology of Development,DNA replication and repair; cell cycle regulation. The role of differential gene expression in the regulation of development of model organisms: Drosophila| Caenorhabditis| yeasts| amphibians and mice.,0.5,Biology 2230 and 2910 or permission of the instructor
BIOL,3351,Plants and People,An introduction to the basic and essential relationship between plants (as food and resource) and humans (as dependent consumers)| in the context of local food security| with emphasis on the origins and history of important temperate and tropical crop plants and their effect on civilization. Ethnobotany principles and methods will be introduced. A different independent community service learning project pertaining to local wild or cultivated plants will be designed each year| resulting in a written report.,0.5,none
BIOL,3450,Biology of the Fungi,See Faculty of Natural Resources Management| Natural Resources Management Courses| Natural Resources Management 3450| for full course description.,0.5,Natural Resources Management 3450
BIOL,3470,Biotechnology of Plants,Facts and myths surrounding plant biotechnology| domestication of modern crop plants| photosynthesis and primary assimilation of inorganic nutrients| plant growth regulators| morphogenesis| tissue culture| water relations and transport| and plant movements and directional growth.,0.5,Biology 2230 and 2910 or permission of the instructor
BIOL,3475,Alpine Plant Physiology,A field-based course with lectures which will cover photosynthesis and primary assimilation of inorganic nutrients| water relations and transport| plant movements and directional growth| environmental stress and seed germination physiology| induction of flowering| pollination and flower development. Field trips will focus on mountain geomorphology and climate in relation to plant life.,0.5,Course will normally be offered in the second half of the summer term.  Additional costs will be borne by participants.
BIOL,3610,Environmental Biology,The impact of environmental degradation organisms and the earth is studied through an in-depth examination of human population growth| renewable resource depletion and pollution. Particular attention will be given to specific crises in agriculture| forestry and wildlife management. Causes and prevention of these renewable resources problems are discussed.,0.5,Environmental Studies 3610
BIOL,3671,Evolutionary Concepts,Designed for students majoring in biology who want to understand evolutionary concepts and their application to important questions in biology| with an emphasis on ecology. Course instruction will include a mixture of lectures| general discussions| tutorials| and investigative assignments. Lectures will emphasize conceptual| empirical| and experimental approaches to the study of evolution. Topics include mechanisms of evolution| adaptation| speciation and an introduction to evolutionary ecology.,0.5,Biology 2171 and 2210
BIOL,3711,Pathogenic Bacteriology,An introduction to pathogenic mechanisms of bacterial pathogens. Selective pathogens will be used to illustrate pathogen-host interactions. A general introduction of host responses to bacterial infections.,0.5,Biology 2711
BIOL,3713,Microbial Physiology,A study of the structure| functions| biochemistry and genetics of microorganisms. Topics including microbial metabolism| growth| regulation| and their relationships with various environmental factors will be examined. Basic microbial genetics such as mutation| genetic exchange and recombination will also be discussed.,0,none
BIOL,3770,Biology of Food Safety,Selected topics in food safety| such as foodborne diseases and their prevention| genetically modified foods and antibiotic/pesticide use in food production will be covered. The biological foundations and scientific literature of these food safety issues will be examined and the role of government regulations and consumer attitudes discussed.,0.5,Biology 2711
BIOL,3990,Research Internship I,A work-term option consisting of a minimum of 120 hours as a research intern with a full-time faculty member in the Department of Biology. The work-term will usually take place during either the spring or summer session. Students will write| and be graded on| a report on their work experience that details the nature of the research| the nature of their contribution| and how the work term has changed their world-view of biology. Students may be required to present an oral summary to the Department. Students interested in the intern option should contact potential supervisors. Students may obtain credit for no more than one internship with a single faculty member| and for no more than two internships in total.,0.5,Permission of the supervisor. Students must have an overall B average in previous Biology courses.
